,MOVIES,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Year,Director,Stars
5251,The Good Road,Drama,6.1,"A family o  vacatio  lose their so . A truck driver's last ride. A girl chasi g hope. This is a life affirmi g jour ey, across a local highway, a d i to the heart of a  u see  I dia, where acts of great compassio  are show  to stra gers.","Director:
Gya  Correa
| 
    Stars:
Ajay Gehi, 
So ali Kulkar i, 
Shamji Dha a Kerasia, 
Priya k Upadhyay",537.0,92.0,2013,Gya  Correa,"Ajay Gehi, 
So ali Kulkar i, 
Shamji Dha a Kerasia, 
Priya k Upadhyay"
5252,Lava Ka Dhaava,"Game-Show, Reality-TV",6.1,Actor Jaaved Jaafferi bri gs his sig ature humor to this Hi di dubbi g of the show where teams creatively  avigate rooms flooded with make-believe lava.,"Star:
Javed Jaffrey",39.0,29.0,2021–,,
5253,Mulligan,"A imatio , Comedy, Sci-Fi",6.0,Plot u k ow .,,21652.736861313868,79.0,Unknown,,
5254,Mike Birbiglia: Thank God for Jokes,Comedy,7.5,Mike Birbiglia tells stories about his life as a semi-famous comedia /filmmaker a d reflects o  the mea i g of good or bad jokes.,"Directors:
Seth Barrish, 
Mike Birbiglia
| 
    Star:
Mike Birbiglia",2336.0,70.0,2017,"Seth Barrish, 
Mike Birbiglia",
5255,Champs,"Docume tary, Biography, Sport",7.3,"A docume tary o  boxi g greats Mike Tyso , Eva der Holyfield a d Ber ard Hopki s exami es their lives i  a d out of the ri g.","Director:
Bert Marcus
| 
    Stars:
Eva der Holyfield, 
Ber ard Hopki s, 
Mike Tyso , 
Larry 'Ratso' Sloma",1887.0,85.0,2014,Bert Marcus,"Eva der Holyfield, 
Ber ard Hopki s, 
Mike Tyso , 
Larry 'Ratso' Sloma"
5256,Ryan Hamilton: Happy Face,"Docume tary, Comedy",7.3,"Small-tow  import Rya  Hamilto  charms New York with folksy comic observatio s o  big-city life, hot-air balloo i g a d goi g to Dis ey World alo e.","Director:
Marcus Raboy
| 
    Star:
Rya  Hamilto",849.0,56.0,2017,Marcus Raboy,
5257,A Garota Invisível,"Comedy, Musical, Roma ce",4.6,"Aria a has always go e u  oticed u til, u i te tio ally, she posts a video i  which she declares herself to the most popular boy i  school. Now his ex-girlfrie d will do a ythi g to rui  the roma ce a d make her wa t to be i visible agai .","Director:
Mauricio Eça
| 
    Stars:
Guilherme Brumatti, 
Mharessa Fer a da, 
Bia Jordão, 
Bia ca Paiva",45.0,83.0,2021,Mauricio Eça,"Guilherme Brumatti, 
Mharessa Fer a da, 
Bia Jordão, 
Bia ca Paiva"
5258,Parrot Sketch Not Included: Twenty Years of Monty Python,Comedy,8.1,Sketches from Mo ty Pytho 's Flyi g Circus (1969).,"Director:
Ia  MacNaughto 
| 
    Stars:
Steve Marti , 
Graham Chapma , 
Joh  Cleese, 
Terry Gilliam",1457.0,72.0,1989,Ia  MacNaughto,"Steve Marti , 
Graham Chapma , 
Joh  Cleese, 
Terry Gilliam"
5259,Un fidanzato per mia moglie,"Comedy, Roma ce",5.6,A  exasperated husba d hires a fadi g playboy to seduce his a  oyi g wife i  order to speed up a separatio  from her.,"Director:
Davide Mare go
| 
    Stars:
Luca Bizzarri, 
Paolo Kessisoglu, 
Geppi Cucciari, 
Di o Abbrescia",463.0,97.0,2014,Davide Mare go,"Luca Bizzarri, 
Paolo Kessisoglu, 
Geppi Cucciari, 
Di o Abbrescia"
5260,The Ollie & Moon Show,"A imatio , Family",8.3,Two cats travel the globe a d teach childre  about u likely frie dships a d global citize ships.,"Stars:
Mattea Co forti, 
Kobi Frumer, 
Ofosu Bor  Jo es-Quartey, 
Bria  Beckerle",59.0,11.0,2017–,,"Mattea Co forti, 
Kobi Frumer, 
Ofosu Bor  Jo es-Quartey, 
Bria  Beckerle"
5261,Team Hot Wheels: The Skills to Thrill,A imatio,6.8,"Whe  Larry's brother Garry arrives i  tow  selli g cars that drive themselves, the citize s of Hot Wheels City are thrilled. Whe  these cars start causi g problems, it is up to Team Hot Wheels to show their skills.","Director:
Matt Da  er
| 
    Stars:
Be  Diski , 
Jessica Gee-George, 
Gra t George, 
David Lodge",22.0,45.0,2015,Matt Da  er,"Be  Diski , 
Jessica Gee-George, 
Gra t George, 
David Lodge"
