,MOVIES,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Year,Director,Stars
0,Blood Red Sky,"Actio , Horror, Thriller",6.1,A woma  with a mysterious ill ess is forced i to actio  whe  a group of terrorists attempt to hijack a tra satla tic over ight flight.,"Director:
Peter Thorwarth
| 
    Stars:
Peri Baumeister, 
Carl A to  Koch, 
Alexa der Scheer, 
Kais Setti",21062.0,121.0,2021,Peter Thorwarth,"Peri Baumeister, 
Carl A to  Koch, 
Alexa der Scheer, 
Kais Setti"
1,Masters of the Universe: Revelation,"A imatio , Actio , Adve ture",5.0,The war for Eter ia begi s agai  i  what may be the fi al battle betwee  He-Ma  a d Skeletor. A  ew a imated series from writer-director Kevi  Smith.,"Stars:
Chris Wood, 
Sarah Michelle Gellar, 
Le a Headey, 
Mark Hamill",17870.0,25.0,2021–,,"Chris Wood, 
Sarah Michelle Gellar, 
Le a Headey, 
Mark Hamill"
2,The Walking Dead,"Drama, Horror, Thriller",8.2,Sheriff Deputy Rick Grimes wakes up from a coma to lear  the world is i  rui s a d must lead a group of survivors to stay alive.,"Stars:
A drew Li col , 
Norma  Reedus, 
Melissa McBride, 
Laure  Coha",885805.0,44.0,2010–2022),,"A drew Li col , 
Norma  Reedus, 
Melissa McBride, 
Laure  Coha"
3,Rick and Morty,"A imatio , Adve ture, Comedy",9.2,A  a imated series that follows the exploits of a super scie tist a d his  ot-so-bright gra dso .,"Stars:
Justi  Roila d, 
Chris Par ell, 
Spe cer Grammer, 
Sarah Chalke",414849.0,23.0,2013–,,"Justi  Roila d, 
Chris Par ell, 
Spe cer Grammer, 
Sarah Chalke"
4,Army of Thieves,"Actio , Crime, Horror",6.0,"A prequel, set before the eve ts of Army of the Dead, which focuses o  Germa  safecracker Ludwig Dieter leadi g a group of aspiri g thieves o  a top secret heist duri g the early stages of the zombie apocalypse.","Director:
Matthias Schweighöfer
| 
    Stars:
Matthias Schweighöfer, 
Nathalie Emma uel, 
Ruby O. Fee, 
Stuart Marti",21652.736861313868,79.0,2021,Matthias Schweighöfer,"Matthias Schweighöfer, 
Nathalie Emma uel, 
Ruby O. Fee, 
Stuart Marti"
5,Outer Banks,"Actio , Crime, Drama",7.6,A group of tee agers from the wro g side of the tracks stumble upo  a treasure map that u earths a lo g buried secret.,"Stars:
Chase Stokes, 
Madely  Cli e, 
Madiso  Bailey, 
Jo atha  Daviss",25858.0,50.0,2020–,,"Chase Stokes, 
Madely  Cli e, 
Madiso  Bailey, 
Jo atha  Daviss"
6,The Last Letter from Your Lover,"Drama, Roma ce",6.8,A pair of i terwove  stories set i  the past a d prese t follow a  ambitious jour alist determi ed to solve the mystery of a forbidde  love affair at the ce ter of a trove of secret love letters from 1965.,"Director:
Augusti e Frizzell
| 
    Stars:
Shaile e Woodley, 
Joe Alwy , 
We dy Notti gham, 
Felicity Jo es",5283.0,110.0,2021,Augusti e Frizzell,"Shaile e Woodley, 
Joe Alwy , 
We dy Notti gham, 
Felicity Jo es"
7,Dexter,"Crime, Drama, Mystery",8.6,"By day, mild-ma  ered Dexter is a blood-spatter a alyst for the Miami police. But at  ight, he is a serial killer who o ly targets other murderers.","Stars:
Michael C. Hall, 
Je  ifer Carpe ter, 
David Zayas, 
James Remar",665387.0,53.0,2006–2013),,"Michael C. Hall, 
Je  ifer Carpe ter, 
David Zayas, 
James Remar"
8,Never Have I Ever,Comedy,7.9,"The complicated life of a moder -day first ge eratio  I dia  America  tee age girl, i spired by Mi dy Kali g's ow  childhood.","Stars:
Maitreyi Ramakrish a , 
Poor a Jaga  atha , 
Darre  Bar et, 
Joh  McE roe",34530.0,30.0,2020–,,"Maitreyi Ramakrish a , 
Poor a Jaga  atha , 
Darre  Bar et, 
Joh  McE roe"
9,Virgin River,"Drama, Roma ce",7.4,"Seeki g a fresh start,  urse practitio er Meli da Mo roe moves from Los A geles to a remote Norther  Califor ia tow  a d is surprised by what a d who she fi ds.","Stars:
Alexa dra Brecke ridge, 
Marti  He derso , 
Coli  Lawre ce, 
Tim Matheso",27279.0,44.0,2019–,,"Alexa dra Brecke ridge, 
Marti  He derso , 
Coli  Lawre ce, 
Tim Matheso"
10,Gunpowder Milkshake,"Actio , Adve ture, Thriller",6.0,Three ge eratio s of wome  fight back agai st those who could take everythi g from them.,"Director:
Navot Papushado
| 
    Stars:
Kare  Gilla , 
Le a Headey, 
Carla Gugi o, 
Michelle Yeoh",17989.0,114.0,2021,Navot Papushado,"Kare  Gilla , 
Le a Headey, 
Carla Gugi o, 
Michelle Yeoh"
11,Lucifer,"Crime, Drama, Fa tasy",8.1,Lucifer Mor i gstar has decided he's had e ough of bei g the dutiful serva t i  Hell a d decides to spe d some time o  Earth to better u dersta d huma ity. He settles i  Los A geles - the City of A gels.,"Stars:
Tom Ellis, 
Lesley-A   Bra dt, 
Laure  Germa , 
D.B. Woodside",264222.0,42.0,2016–2021),,"Tom Ellis, 
Lesley-A   Bra dt, 
Laure  Germa , 
D.B. Woodside"
12,Fear Street: 1994,"Drama, Horror, Mystery",6.2,A circle of tee age frie ds accide tally e cou ter the a cie t evil respo sible for a series of brutal murders that have plagued their tow  for over 300 years. Welcome to Shadyside.,"Director:
Leigh Ja iak
| 
    Stars:
Kia a Madeira, 
Olivia Scott Welch, 
Be jami  Flores Jr., 
Julia Rehwald",50148.0,107.0,2021,Leigh Ja iak,"Kia a Madeira, 
Olivia Scott Welch, 
Be jami  Flores Jr., 
Julia Rehwald"
13,Sex/Life,"Comedy, Drama, Roma ce",5.4,A suburba  mother of two takes a fa tasy-charged trip dow  memory la e that sets her very married prese t o  a collisio  course with her wild-child past.,"Stars:
Sarah Shahi, 
Mike Vogel, 
Adam Demos, 
Margaret Odette",12172.0,79.0,2021–,,"Sarah Shahi, 
Mike Vogel, 
Adam Demos, 
Margaret Odette"
14,American Horror Story,"Drama, Horror, Thriller",8.0,"A  a thology series ce teri g o  differe t characters a d locatio s, i cludi g a house with a murderous past, a  i sa e asylum, a witch cove , a freak show circus, a hau ted hotel, a possessed farmhouse, a cult, the apocalypse, a d a slasher summer camp.","Stars:
Lady Gaga, 
Kathy Bates, 
A gela Bassett, 
Sarah Paulso",286488.0,60.0,2011–,,"Lady Gaga, 
Kathy Bates, 
A gela Bassett, 
Sarah Paulso"
15,Grey's Anatomy,"Drama, Roma ce",7.5,A drama ce tered o  the perso al a d professio al lives of five surgical i ter s a d their supervisors.,"Stars:
Elle  Pompeo, 
Cha dra Wilso , 
James Picke s Jr., 
Justi  Chambers",266258.0,41.0,2005–,,"Elle  Pompeo, 
Cha dra Wilso , 
James Picke s Jr., 
Justi  Chambers"
16,Breaking Bad,"Crime, Drama, Thriller",9.4,A high school chemistry teacher diag osed with i operable lu g ca cer tur s to ma ufacturi g a d selli g methamphetami e i  order to secure his family's future.,"Stars:
Brya  Cra sto , 
Aaro  Paul, 
A  a Gu  , 
Betsy Bra dt",1552311.0,49.0,2008–2013),,"Brya  Cra sto , 
Aaro  Paul, 
A  a Gu  , 
Betsy Bra dt"
17,The Good Doctor,Drama,8.1,"Shau  Murphy, a you g surgeo  with autism a d Sava t sy drome, is recruited i to the surgical u it of a prestigious hospital.","Stars:
Freddie Highmore, 
Hill Harper, 
Richard Schiff, 
A to ia Thomas",70871.0,41.0,2017–,,"Freddie Highmore, 
Hill Harper, 
Richard Schiff, 
A to ia Thomas"
18,Atypical,"Comedy, Drama",8.3,"Sam, a  18-year-old o  the autism spectrum, decides it's time to fi d a girlfrie d, a jour ey that sets Sam's mom o  her ow  life-cha gi g path as her so  seeks more i depe de ce.","Stars:
Je  ifer Jaso  Leigh, 
Keir Gilchrist, 
Brigette Lu dy-Pai e, 
Michael Rapaport",71544.0,30.0,2017–2021),,"Je  ifer Jaso  Leigh, 
Keir Gilchrist, 
Brigette Lu dy-Pai e, 
Michael Rapaport"
19,Stranger Things,"Drama, Fa tasy, Horror",8.7,"Whe  a you g boy disappears, his mother, a police chief a d his frie ds must co fro t terrifyi g super atural forces i  order to get him back.","Stars:
Millie Bobby Brow , 
Fi   Wolfhard, 
Wi o a Ryder, 
David Harbour",885856.0,51.0,2016–,,"Millie Bobby Brow , 
Fi   Wolfhard, 
Wi o a Ryder, 
David Harbour"
20,Fear Street: 1978,"Drama, Horror, Mystery",6.8,"Shadyside, 1978. School's out for summer a d the activities at Camp Nightwi g are about to begi . But whe  a other Shadysider is possessed with the urge to kill, the fu  i  the su  becomes a gruesome fight for survival.","Director:
Leigh Ja iak
| 
    Stars:
Sadie Si k, 
Emily Rudd, 
Rya  Simpki s, 
McCabe Slye",36634.0,109.0,2021,Leigh Ja iak,"Sadie Si k, 
Emily Rudd, 
Rya  Simpki s, 
McCabe Slye"
21,Friends,"Comedy, Roma ce",8.9,Follows the perso al a d professio al lives of six twe ty to thirty-somethi g-year-old frie ds livi g i  Ma hatta .,"Stars:
Je  ifer A isto , 
Courte ey Cox, 
Lisa Kudrow, 
Matt LeBla c",880918.0,22.0,1994–2004),,"Je  ifer A isto , 
Courte ey Cox, 
Lisa Kudrow, 
Matt LeBla c"
22,The Flash,"Actio , Adve ture, Drama",7.6,"After bei g struck by light i g, Barry Alle  wakes up from his coma to discover he's bee  give  the power of super speed, becomi g the  ext Flash, fighti g crime i  Ce tral City.","Stars:
Gra t Gusti , 
Ca dice Patto , 
Da ielle Pa abaker, 
Carlos Valdes",320264.0,43.0,2014–,,"Gra t Gusti , 
Ca dice Patto , 
Da ielle Pa abaker, 
Carlos Valdes"
23,Peaky Blinders,"Crime, Drama",8.8,"A ga gster family epic set i  1900s E gla d, ce teri g o  a ga g who sew razor blades i  the peaks of their caps, a d their fierce boss Tommy Shelby.","Stars:
Cillia  Murphy, 
Paul A derso , 
Hele  McCrory, 
Sophie Ru dle",393414.0,60.0,2013–,,"Cillia  Murphy, 
Paul A derso , 
Hele  McCrory, 
Sophie Ru dle"
24,He-Man and the Masters of the Universe,"A imatio , Actio , Adve ture",6.0,"Eter ia's Pri ce Adam discovers the power of Grayskull a d tra sforms i to He-Ma , Master of the U iverse. A reimagi i g of the classic a imated series.",,21652.736861313868,79.0,2021–,,
25,Chernobyl,"Drama, History, Roma ce",5.0,A story about a heroic firema  who worked as o e of Cher obyl liquidators.,"Director:
Da ila Kozlovskiy
| 
    Stars:
Da ila Kozlovskiy, 
Oksa a Aki shi a, 
Filipp Avdeev, 
Ravsha a Kurkova",4681.0,136.0,2021,Da ila Kozlovskiy,"Da ila Kozlovskiy, 
Oksa a Aki shi a, 
Filipp Avdeev, 
Ravsha a Kurkova"
26,Vikings,"Actio , Adve ture, Drama",8.5,"Viki gs tra sports us to the brutal a d mysterious world of Rag ar Lothbrok, a Viki g warrior a d farmer who year s to explore - a d raid - the dista t shores across the ocea .","Stars:
Kathery  Wi  ick, 
Gustaf Skarsgård, 
Alexa der Ludwig, 
Georgia Hirst",459913.0,44.0,2013–2020),,"Kathery  Wi  ick, 
Gustaf Skarsgård, 
Alexa der Ludwig, 
Georgia Hirst"
27,Better Call Saul,"Crime, Drama",8.8,"The trials a d tribulatio s of crimi al lawyer Jimmy McGill i  the time before he established his strip-mall law office i  Albuquerque, New Mexico.","Stars:
Bob Ode kirk, 
Rhea Seehor , 
Jo atha  Ba ks, 
Patrick Fabia",347857.0,46.0,2015–,,"Bob Ode kirk, 
Rhea Seehor , 
Jo atha  Ba ks, 
Patrick Fabia"
28,Supernatural,"Drama, Fa tasy, Horror",8.4,"Two brothers follow their father's footsteps as hu ters, fighti g evil super atural bei gs of ma y ki ds, i cludi g mo sters, demo s a d gods that roam the earth.","Stars:
Jared Padalecki, 
Je se  Ackles, 
Jim Beaver, 
Misha Colli s",404273.0,44.0,2005–2020),,"Jared Padalecki, 
Je se  Ackles, 
Jim Beaver, 
Misha Colli s"
29,The Blacklist,"Crime, Drama, Mystery",8.0,"A  ew FBI profiler, Elizabeth Kee , has her e tire life uprooted whe  a mysterious crimi al, Raymo d Reddi gto , who has eluded capture for decades, tur s himself i  a d i sists o  speaki g o ly to her.","Stars:
James Spader, 
Mega  Boo e, 
Diego Klatte hoff, 
Rya  Eggold",213522.0,43.0,2013–,,"James Spader, 
Mega  Boo e, 
Diego Klatte hoff, 
Rya  Eggold"
30,Fear Street: 1666,"Horror, Mystery",6.7,The origi s of Sarah Fier's curse are fi ally revealed as history comes full circle o  a  ight that cha ges the lives of Shadysiders forever.,"Director:
Leigh Ja iak
| 
    Stars:
Kia a Madeira, 
Ashley Zukerma , 
Gillia  Jacobs, 
Olivia Scott Welch",27447.0,114.0,2021,Leigh Ja iak,"Kia a Madeira, 
Ashley Zukerma , 
Gillia  Jacobs, 
Olivia Scott Welch"
31,Animal Kingdom,"Crime, Drama",8.2,"Ce ters o  a Souther  Califor ia family, whose excessive lifestyle is fueled by their crimi al activities.","Stars:
Shaw  Hatosy, 
Be  Robso , 
Jake Weary, 
Fi   Cole",26926.0,60.0,2016–,,"Shaw  Hatosy, 
Be  Robso , 
Jake Weary, 
Fi   Cole"
32,Brooklyn Nine-Nine,"Comedy, Crime",8.4,"Comedy series followi g the exploits of Det. Jake Peralta a d his diverse, lovable colleagues as they police the NYPD's 99th Preci ct.","Stars:
A dy Samberg, 
Stepha ie Beatriz, 
Terry Crews, 
Melissa Fumero",248583.0,22.0,2013–2022),,"A dy Samberg, 
Stepha ie Beatriz, 
Terry Crews, 
Melissa Fumero"
33,NCIS: Naval Criminal Investigative Service,"Actio , Crime, Drama",7.7,"The cases of the Naval Crimi al I vestigative Service's Washi gto , D.C. Major Case Respo se Team, led by Special Age t Leroy Jethro Gibbs.","Stars:
Mark Harmo , 
David McCallum, 
Sea  Murray, 
Pauley Perrette",125619.0,60.0,2003–,,"Mark Harmo , 
David McCallum, 
Sea  Murray, 
Pauley Perrette"
35,Modern Family,"Comedy, Drama, Roma ce",8.4,Three differe t but related families face trials a d tribulatio s i  their ow  u iquely comedic ways.,"Stars:
Ed O'Neill, 
Sofía Vergara, 
Julie Bowe , 
Ty Burrell",378030.0,22.0,2009–2020),,"Ed O'Neill, 
Sofía Vergara, 
Julie Bowe , 
Ty Burrell"
36,Titans,"Actio , Adve ture, Crime",7.7,A team of you g superheroes combat evil a d other perils.,"Stars:
Bre to  Thwaites, 
Teaga  Croft, 
A  a Diop, 
Rya  Potter",73656.0,45.0,2018–,,"Bre to  Thwaites, 
Teaga  Croft, 
A  a Diop, 
Rya  Potter"
37,The Witcher,"Actio , Adve ture, Fa tasy",8.2,"Geralt of Rivia, a solitary mo ster hu ter, struggles to fi d his place i  a world where people ofte  prove more wicked tha  beasts.","Stars:
He ry Cavill, 
A  a Shaffer, 
Freya Alla , 
Adjoa A doh",336484.0,60.0,2019–,,"He ry Cavill, 
A  a Shaffer, 
Freya Alla , 
Adjoa A doh"
38,Downton Abbey,"Drama, Roma ce",8.7,A chro icle of the lives of the British aristocratic Crawley family a d their serva ts i  the early twe tieth ce tury.,"Stars:
Hugh Bo  eville, 
Phyllis Loga , 
Elizabeth McGover , 
Bre da  Coyle",171804.0,58.0,2010–2015),,"Hugh Bo  eville, 
Phyllis Loga , 
Elizabeth McGover , 
Bre da  Coyle"
39,Shingeki no kyojin,"A imatio , Actio , Adve ture",9.0,"After his hometow  is destroyed a d his mother is killed, you g Ere  Jaeger vows to clea se the earth of the gia t huma oid Tita s that have brought huma ity to the bri k of exti ctio .","Stars:
Yûki Kaji, 
Mari a I oue, 
Josh Grelle, 
Yui Ishikawa",242582.0,24.0,2013–2022),,"Yûki Kaji, 
Mari a I oue, 
Josh Grelle, 
Yui Ishikawa"
40,Suits,"Comedy, Drama",8.4,"O  the ru  from a drug deal go e bad, brillia t college dropout Mike Ross fi ds himself worki g with Harvey Specter, o e of New York City's best lawyers.","Stars:
Gabriel Macht, 
Patrick J. Adams, 
Megha  Markle, 
Sarah Rafferty",374263.0,44.0,2011–2019),,"Gabriel Macht, 
Patrick J. Adams, 
Megha  Markle, 
Sarah Rafferty"
41,La casa de papel,"Actio , Crime, Mystery",8.3,A  u usual group of robbers attempt to carry out the most perfect robbery i  Spa ish history - steali g 2.4 billio  euros from the Royal Mi t of Spai .,"Stars:
Úrsula Corberó, 
Álvaro Morte, 
Itziar Ituño, 
Pedro Alo so",341858.0,70.0,2017–2021),,"Úrsula Corberó, 
Álvaro Morte, 
Itziar Ituño, 
Pedro Alo so"
42,Schitt's Creek,Comedy,8.5,"Whe  rich video-store mag ate Joh  y Rose a d his family sudde ly fi d themselves broke, they are forced to leave their pampered lives to regroup i  Schitt's Creek.","Stars:
Euge e Levy, 
Catheri e O'Hara, 
Da  Levy, 
A  ie Murphy",90728.0,22.0,2015–2020),,"Euge e Levy, 
Catheri e O'Hara, 
Da  Levy, 
A  ie Murphy"
43,Outlander,"Drama, Fa tasy, Roma ce",8.4,A  E glish combat  urse from 1945 is mysteriously swept back i  time to 1743.,"Stars:
Caitrio a Balfe, 
Sam Heugha , 
Du ca  Lacroix, 
Sophie Skelto",134991.0,64.0,2014–,,"Caitrio a Balfe, 
Sam Heugha , 
Du ca  Lacroix, 
Sophie Skelto"
44,The Last Kingdom,"Actio , Drama, History",8.4,"As Alfred the Great defe ds his ki gdom from Norse i vaders, Uhtred - bor  a Saxo  but raised by Viki gs - seeks to claim his a cestral birthright.","Stars:
Alexa der Dreymo , 
Eliza Butterworth, 
Ar as Fedaravicius, 
Millie Brady",94650.0,60.0,2015–,,"Alexa der Dreymo , 
Eliza Butterworth, 
Ar as Fedaravicius, 
Millie Brady"
45,Black Mirror,"Drama, Sci-Fi, Thriller",8.8,"A  a thology series explori g a twisted, high-tech multiverse where huma ity's greatest i  ovatio s a d darkest i sti cts collide.","Stars:
Da iel Lapai e, 
Ha  ah Joh -Kame , 
Michaela Coel, 
Beatrice Robertso -Jo es",469407.0,60.0,2011–,,"Da iel Lapai e, 
Ha  ah Joh -Kame , 
Michaela Coel, 
Beatrice Robertso -Jo es"
46,Ozark,"Crime, Drama, Thriller",8.4,"A fi a cial advisor drags his family from Chicago to the Missouri Ozarks, where he must lau der mo ey to appease a drug boss.","Stars:
Jaso  Batema , 
Laura Li  ey, 
Sofia Hublitz, 
Skylar Gaert er",206090.0,60.0,2017–,,"Jaso  Batema , 
Laura Li  ey, 
Sofia Hublitz, 
Skylar Gaert er"
47,The Crown,"Biography, Drama, History",8.6,Follows the political rivalries a d roma ce of Quee  Elizabeth II's reig  a d the eve ts that shaped the seco d half of the twe tieth ce tury.,"Stars:
Claire Foy, 
Olivia Colma , 
Imelda Stau to , 
Matt Smith",169517.0,58.0,2016–,,"Claire Foy, 
Olivia Colma , 
Imelda Stau to , 
Matt Smith"
48,Sweet Tooth,"Actio , Adve ture, Drama",7.9,A boy who is half huma  a d half deer survives i  a post-apocalyptic world with other hybrids.,"Stars:
No so A ozie, 
Christia  Co very, 
Adeel Akhtar, 
Stefa ia LaVie Owe",37142.0,79.0,2021–,,"No so A ozie, 
Christia  Co very, 
Adeel Akhtar, 
Stefa ia LaVie Owe"
49,Army of the Dead,"Actio , Crime, Horror",5.8,"Followi g a zombie outbreak i  Las Vegas, a group of merce aries take the ultimate gamble, ve turi g i to the quara ti e zo e to pull off the greatest heist ever attempted.","Director:
Zack S yder
| 
    Stars:
Dave Bautista, 
Ella Pur ell, 
A a de la Reguera, 
Omari Hardwick",132378.0,148.0,2021,Zack S yder,"Dave Bautista, 
Ella Pur ell, 
A a de la Reguera, 
Omari Hardwick"
50,Fargo,"Crime, Drama, Thriller",8.9,"Various chro icles of deceptio , i trigue a d murder i  a d arou d froze  Mi  esota. Yet all of these tales mysteriously lead back o e way or a other to Fargo, North Dakota.","Stars:
Billy Bob Thor to , 
Marti  Freema , 
Alliso  Tolma , 
Coli  Ha ks",341221.0,53.0,2014–,,"Billy Bob Thor to , 
Marti  Freema , 
Alliso  Tolma , 
Coli  Ha ks"
51,How I Met Your Mother,"Comedy, Roma ce",8.3,A father recou ts to his childre  - through a series of flashbacks - the jour ey he a d his four best frie ds took leadi g up to him meeti g their mother.,"Stars:
Josh Rad or, 
Jaso  Segel, 
Cobie Smulders, 
Neil Patrick Harris",624036.0,22.0,2005–2014),,"Josh Rad or, 
Jaso  Segel, 
Cobie Smulders, 
Neil Patrick Harris"
52,Community,Comedy,8.5,A suspe ded lawyer is forced to e roll i  a commu ity college with a  ecce tric staff a d stude t body.,"Stars:
Joel McHale, 
Da  y Pudi, 
Do ald Glover, 
Chevy Chase",231013.0,22.0,2009–2015),,"Joel McHale, 
Da  y Pudi, 
Do ald Glover, 
Chevy Chase"
53,Sons of Anarchy,"Crime, Drama, Thriller",8.5,A biker struggles to bala ce bei g a father a d bei g i volved i  a  outlaw motorcycle club.,"Stars:
Charlie Hu  am, 
Katey Sagal, 
Mark Boo e Ju ior, 
Kim Coates",270445.0,45.0,2008–2014),,"Charlie Hu  am, 
Katey Sagal, 
Mark Boo e Ju ior, 
Kim Coates"
54,StartUp,"Crime, Thriller",7.9,"A desperate ba ker, a Haitia -America  ga g lord a d a Cuba -America  hacker are forced to work together to u witti gly create their versio  of the America  dream - orga ized crime 2.0.","Stars:
Adam Brody, 
Edi Gathegi, 
Otmara Marrero, 
Kriste  Ariza",22971.0,44.0,2016–2018),,"Adam Brody, 
Edi Gathegi, 
Otmara Marrero, 
Kriste  Ariza"
55,The Vampire Diaries,"Drama, Fa tasy, Horror",7.7,"The lives, loves, da gers a d disasters i  the tow , Mystic Falls, Virgi ia. Creatures of u speakable horror lurk be eath this tow  as a tee age girl is sudde ly tor  betwee  two vampire brothers.","Stars:
Ni a Dobrev, 
Paul Wesley, 
Ia  Somerhalder, 
Kat Graham",293434.0,43.0,2009–2017),,"Ni a Dobrev, 
Paul Wesley, 
Ia  Somerhalder, 
Kat Graham"
56,365 dni,"Drama, Roma ce",3.3,"Massimo is a member of the Sicilia  Mafia family a d Laura is a sales director. She does  ot expect that o  a trip to Sicily tryi g to save her relatio ship, Massimo will kid ap her a d give her 365 days to fall i  love with him.","Directors:
Barbara Bialowas, 
Tomasz Ma des
| 
    Stars:
A  a Maria Sieklucka, 
Michele Morro e, 
Bro islaw Wroclawski, 
Otar Saralidze",63620.0,114.0,2020,"Barbara Bialowas, 
Tomasz Ma des","A  a Maria Sieklucka, 
Michele Morro e, 
Bro islaw Wroclawski, 
Otar Saralidze"
57,How to Sell Drugs Online (Fast),"Comedy, Crime, Drama",7.9,"To wi  back the love of his life, a high school stude t a d his best frie d lau ch Europe's largest o li e drug busi ess from their tee age bedroom.","Stars:
Maximilia  Mu dt, 
Da ilo Kamperidis, 
Le a Kle ke, 
Damia  Hardu g",23960.0,30.0,2019–,,"Maximilia  Mu dt, 
Da ilo Kamperidis, 
Le a Kle ke, 
Damia  Hardu g"
58,Good Girls,"Comedy, Crime, Drama",7.8,Three suburba  mothers sudde ly fi d themselves i  desperate circumsta ces a d decide to stop playi g it safe a d risk everythi g to take their power back.,"Stars:
Christi a He dricks, 
Retta, 
Mae Whitma , 
Re o Wilso",38618.0,43.0,2018–2021),,"Christi a He dricks, 
Retta, 
Mae Whitma , 
Re o Wilso"
59,13 Reasons Why,"Drama, Mystery, Thriller",7.6,"Follows tee ager Clay Je se , i  his quest to u cover the story behi d his classmate a d crush, Ha  ah, a d her decisio  to e d her life.","Stars:
Dyla  Mi  ette, 
Katheri e La gford, 
Christia  Navarro, 
Alisha Boe",266386.0,60.0,2017–2020),,"Dyla  Mi  ette, 
Katheri e La gford, 
Christia  Navarro, 
Alisha Boe"
60,The Queen's Gambit,Drama,8.6,"Orpha ed at the te der age of  i e, prodigious i trovert Beth Harmo  discovers a d masters the game of chess i  1960s USA. But child stardom comes at a price.","Stars:
A ya Taylor-Joy, 
Chloe Pirrie, 
Bill Camp, 
Marci  Doroci ski",336801.0,395.0,2020,,"A ya Taylor-Joy, 
Chloe Pirrie, 
Bill Camp, 
Marci  Doroci ski"
61,Legends of Tomorrow,"Actio , Adve ture, Drama",6.8,"Time-travelli g rogue Rip Hu ter has to recruit a rag-tag team of heroes a d villai s to help preve t a  apocalypse that could impact  ot o ly Earth, but all of time.","Stars:
Caity Lotz, 
Amy Louise Pemberto , 
Domi ic Purcell, 
Nick Za o",95897.0,42.0,2016–,,"Caity Lotz, 
Amy Louise Pemberto , 
Domi ic Purcell, 
Nick Za o"
62,Star Trek: The Next Generation,"Actio , Adve ture, Mystery",8.6,"Set almost 100 years after Captai  Kirk's five-year missio , a  ew ge eratio  of Starfleet officers set off i  the U.S.S. E terprise-D o  their ow  missio  to go where  o o e has go e before.","Stars:
Patrick Stewart, 
Bre t Spi er, 
Jo atha  Frakes, 
LeVar Burto",106181.0,44.0,1987–1994),,"Patrick Stewart, 
Bre t Spi er, 
Jo atha  Frakes, 
LeVar Burto"
63,Le dernier mercenaire,"Actio , Comedy",5.4,"A mysterious former secret service age t must urge tly retur  to Fra ce whe  his estra ged so  is falsely accused of arms a d drug trafficki g by the gover me t, followi g a blu der by a  overzealous bureaucrat a d a mafia operatio .","Director:
David Charho 
| 
    Stars:
Jea -Claude Va  Damme, 
Alba  Iva ov, 
Samir Decazza, 
Assa Sylla",2606.0,110.0,2021,David Charho,"Jea -Claude Va  Damme, 
Alba  Iva ov, 
Samir Decazza, 
Assa Sylla"
64,Resort to Love,"Comedy, Roma ce",5.7,"Erica, who e ds up as the e tertai me t at her ex-fia cé's weddi g after relucta tly taki g a gig at a luxurious isla d resort while i  the wake of a music career meltdow .","Director:
Steve  K. Tsuchida
| 
    Stars:
Christi a Milia , 
Tymberlee Hill, 
Kay e Lee Harriso , 
Ruth Nadler-Nir",1591.0,101.0,2021,Steve  K. Tsuchida,"Christi a Milia , 
Tymberlee Hill, 
Kay e Lee Harriso , 
Ruth Nadler-Nir"
65,Evil,"Crime, Drama, Horror",7.7,"A skeptical female cli ical psychologist joi s a priest-i -trai i g a d a blue-collar co tractor as they i vestigate supposed miracles, demo ic possessio , a d other extraordi ary occurre ces to see if there's a scie tific expla atio  or if somethi g truly super atural is at work.","Stars:
Katja Herbers, 
Mike Colter, 
Aasif Ma dvi, 
Maddy Crocco",15048.0,42.0,2019–,,"Katja Herbers, 
Mike Colter, 
Aasif Ma dvi, 
Maddy Crocco"
66,The Expanse,"Drama, Mystery, Sci-Fi",8.5,"I  the 24th ce tury, a disparate ba d of a tiheroes u ravel a vast co spiracy that threate s the Solar System's fragile state of cold war.","Stars:
Wes Chatham, 
Domi ique Tipper, 
Steve  Strait, 
Shohreh Aghdashloo",119644.0,60.0,2015–,,"Wes Chatham, 
Domi ique Tipper, 
Steve  Strait, 
Shohreh Aghdashloo"
67,New Amsterdam,Drama,8.1,A  ew medical director breaks the rules to heal the system at America's oldest public hospital.,"Stars:
Rya  Eggold, 
Ja et Mo tgomery, 
Freema Agyema , 
Jocko Sims",27709.0,43.0,2018–,,"Rya  Eggold, 
Ja et Mo tgomery, 
Freema Agyema , 
Jocko Sims"
68,Line of Duty,"Crime, Drama, Mystery",8.7,"Drama series followi g the i vestigatio s of AC-12, a co troversial police a ti-corruptio  u it.","Stars:
Marti  Compsto , 
Vicky McClure, 
Adria  Du bar, 
Craig Parki so",46751.0,60.0,2012–,,"Marti  Compsto , 
Vicky McClure, 
Adria  Du bar, 
Craig Parki so"
69,The 100,"Drama, Mystery, Sci-Fi",7.6,"Set  i ety-seve  years after a  uclear war has destroyed civilizatio , whe  a spaceship housi g huma ity's lo e survivors se ds o e hu dred juve ile deli que ts back to Earth, i  hopes of possibly re-populati g the pla et.","Stars:
Eliza Taylor, 
Bob Morley, 
Marie Avgeropoulos, 
Isaiah Washi gto",226962.0,43.0,2014–2020),,"Eliza Taylor, 
Bob Morley, 
Marie Avgeropoulos, 
Isaiah Washi gto"
